paper_id,candidate_kind,tuple_id,gt_index,ai_index,reason,expert_judgment,expert_rationale
PMID_11050000,ai_improvement,NRAS|CODON_12|MULTIPLE_MYELOMA|MELPHALAN,,2,Figure 4 shows N-ras12 provides protection from melphalan-induced apoptosis,,
PMID_11050000,ai_improvement,TP53|WILD_TYPE|MULTIPLE_MYELOMA|DOXORUBICIN,,0,Expression of wt p53 significantly suppresses Dox-induced apoptosis (26% vs 55%),,
PMID_11050000,field:PARTIAL_MATCH_OR_UNDER_SPECIFIED,KRAS|CODON_12|MULTIPLE_MYELOMA|MELPHALAN,,,variant_names flagged as PARTIAL_MATCH_OR_UNDER_SPECIFIED,,
PMID_12483530,ai_improvement,KRAS|CODON 12 MUTATION|Multiple Myeloma|Dexamethasone,,1,Figure 5 shows KRAS codon 12 mutations protect from dexamethasone-induced apoptosis,,
PMID_12483530,ai_improvement,KRAS|CODON 12 MUTATION|Multiple Myeloma|Doxorubicin,,3,Figure 6 shows KRAS codon 12 mutations protect from doxorubicin-induced apoptosis,,
PMID_12483530,field:CORRECT_BUT_MISSING_IN_GROUND_TRUTH,KRAS|CODON 12 MUTATION|Multiple Myeloma|Dexamethasone,,,therapy_names flagged as CORRECT_BUT_MISSING_IN_GROUND_TRUTH,,
PMID_12483530,field:CORRECT_BUT_MISSING_IN_GROUND_TRUTH,KRAS|CODON 12 MUTATION|Multiple Myeloma|Doxorubicin,,,therapy_names flagged as CORRECT_BUT_MISSING_IN_GROUND_TRUTH,,
PMID_12483530,field:OVER_SPECIFIED_BEYOND_PAPER,KRAS|G12D|Multiple Myeloma|Melphalan,,,variant_names flagged as OVER_SPECIFIED_BEYOND_PAPER,,
PMID_12483530,field:CONTRADICTS_PAPER,KRAS|G12D|Multiple Myeloma|Melphalan,,,therapy_names flagged as CONTRADICTS_PAPER,,
PMID_15339850,missing_from_ai,"KRAS,NRAS|MUTATION|Multiple Myeloma|Melphalan",0,,AI extraction focused on prognostic/molecular associations rather than therapy predictions. The paper does not actually discuss melphalan response.,,
